Official Final Election Results </br>Qualified Write-In Candidates With Zero Votes Not Displayed
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","917"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5896"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1725"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","172928"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","188582"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","88769"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","241721"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","215602"
"STATE SENATOR 39TH DISTRICT","605","605","324733"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","123309"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","104166"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","143245"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","163634"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","167058"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","123180"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","83010"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","41354"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","59498"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","38611"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","44269"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","64771"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","47797"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","71052"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","53158"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","96061"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","33477"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","66572"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","31388"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","49918"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","16645"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","153"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","907602"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","907602"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","907602"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","907602"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","16774"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","32997"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","66878"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","49282"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","61886"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","57934"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","36313"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","123928"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","195695"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","201506"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","9541"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","15744"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","11412"
"CITY OF SAN DIEGO MAYOR","796","796","389100"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","389100"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","55240"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","58936"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","54599"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","49208"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","28757"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","907602"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","907602"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","389100"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","389100"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","59465"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2467"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","6739"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","8699"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","8699"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","49274"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","39057"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","69349"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","42593"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","13079"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","68572"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","5436"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","5436"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","907602"
