Official Final Election Results </br>Qualified Write-In Candidates With Zero Votes Not Displayed
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROBERT ARDINI","1","0","0","1109","0","1109","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","JOE WALSH","1","0","0","5562","0","5562","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","BILL WELD","1","0","0","6640","0","6640","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROQUE ""ROCKY"" DE LA FUENTE","1","0","0","3151","0","3151","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","MATTHEW JOHN MATERN","1","0","0","1050","0","1050","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ZOLTAN G. ISTVAN","1","0","0","866","0","866","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","DONALD J. TRUMP","1","0","0","249219","0","249219","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","Denis C. Grasska","","0","0","6","0","6","1862","1862","286232"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JULIÃN CASTRO","7","0","0","977","0","977","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL A. ELLINGER","7","0","0","186","0","186","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ELIZABETH WARREN","7","0","0","63745","0","63745","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARIANNE WILLIAMSON","7","0","0","411","0","411","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ANDREW YANG","7","0","0","2899","0","2899","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ROQUE ""ROCKY"" DE LA FUENTE III","7","0","0","457","0","457","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOHN K. DELANEY","7","0","0","227","0","227","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","AMY KLOBUCHAR","7","0","0","11413","0","11413","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","BERNIE SANDERS","7","0","0","178055","0","178055","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOE SESTAK","7","0","0","176","0","176","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TOM STEYER","7","0","0","8235","0","8235","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","DEVAL PATRICK","7","0","0","110","0","110","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL BENNET","7","0","0","372","0","372","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL R. BLOOMBERG","7","0","0","61482","0","61482","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MOSIE BOYD","7","0","0","108","0","108","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","CORY BOOKER","7","0","0","412","0","412","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","PETE BUTTIGIEG","7","0","0","25908","0","25908","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOSEPH R. BIDEN","7","0","0","138905","0","138905","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TULSI GABBARD","7","0","0","3055","0","3055","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARK STEWART GREENSTEIN","7","0","0","257","0","257","1862","1862","504198"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","PHIL COLLINS","2","0","0","1589","0","1589","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","ROQUE ""ROCKY"" DE LA FUENTE","2","0","0","1531","0","1531","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","CHARLES KRAUT","2","0","0","604","0","604","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","J.R. MYERS","2","0","0","687","0","687","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","DON BLANKENSHIP","2","0","0","907","0","907","1862","1862","22329"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","HOWIE HAWKINS","5","0","0","162","0","162","1862","1862","917"
