Unofficial Election Night Final #1 - Projected Outstanding Ballots 350,000
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","181984"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","267285"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","12644"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","436"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","3139"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","883"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","97789"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","113707"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","46907"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","136656"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","116571"
"STATE SENATOR 39TH DISTRICT","605","605","177495"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","74667"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","61541"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","82947"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","93678"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","89191"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","66021"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","43585"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","23484"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","37796"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","20792"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","28356"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","34152"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","30724"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","36919"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","33991"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","46989"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","21142"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","32866"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","19563"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","24191"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","10412"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","70"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","511630"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","511630"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","511630"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","511630"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","9699"
