Unofficial Results Add on #15 - Projected Outstanding Ballots 5,000      (Next Update 3/27/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","893"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1699"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","170347"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","186513"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","87359"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","239342"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","212953"
"STATE SENATOR 39TH DISTRICT","605","605","320871"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","121938"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","102962"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","141504"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","162049"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","164840"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","121536"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","81685"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","40835"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","59081"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","38141"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","43984"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","64001"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","47407"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","70445"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","52825"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","94782"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","33273"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","65697"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","31138"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","49157"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","16489"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","147"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","896514"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","896514"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","896514"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","896514"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","16538"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","32670"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","66279"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","48490"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","61294"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","57328"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","35805"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","122123"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","193307"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","199283"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","9396"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","15520"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","11195"
"CITY OF SAN DIEGO MAYOR","796","796","384339"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","384339"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","54198"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","58361"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","54066"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","48781"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","28167"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","896514"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","896514"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","384339"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","384339"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","58610"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2429"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","6614"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","8531"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","8531"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","48659"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","38588"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","68380"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","42048"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","12953"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","67885"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","5330"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","5330"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","896514"
