Unofficial Results Add on #3 - Projected Outstanding Ballots 210,000      (Next Update 3/8/20 5PM or earlier)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","225029"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","352753"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","16325"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","588"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","4154"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1230"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","125814"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","142826"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","58013"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","180870"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","155980"
"STATE SENATOR 39TH DISTRICT","605","605","238610"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","95306"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","76741"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","105717"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","124599"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","119169"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","88858"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","53113"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","30769"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","47215"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","26718"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","34536"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","45504"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","37419"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","51842"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","42534"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","65444"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","26394"
